100000 19
200000 58
300000 9
400000 250
500000 11
600000 12
700000 13
800000 386
900000 17
1000000 19
1100000 285
1200000 22
1300000 24
1400000 25
1500000 833
1600000 356
1700000 31
1800000 1002
1900000 33
2000000 1008
2100000 36
2200000 573
2300000 387
2400000 275
2500000 331
2600000 1134
2700000 1209
2800000 1254
2900000 51
3000000 1370
3100000 1513
3200000 1556
3300000 1600
3400000 1176
3500000 1546
3600000 1776
3700000 1013
3800000 531
3900000 613
4000000 2433
4100000 1595
4200000 1491
4300000 2475
4400000 1559
4500000 2760
4600000 408
4700000 1833
4800000 2172
4900000 2158
5000000 1830
5100000 1781
5200000 2233
5300000 2238
5400000 2200
5500000 449
5600000 2228
5700000 496
5800000 2411
5900000 486
6000000 2330
6100000 1179
6200000 1107
6300000 1436
6400000 1426
6500000 1435
6600000 1425
6700000 1259
6800000 2897
6900000 1426
7000000 3290
7100000 1393
7200000 2961
7300000 3675
7400000 1395
7500000 3119
7600000 2849
7700000 3192
7800000 2844
7900000 4741
8000000 3015
8100000 2897
8200000 4775
8300000 2853
8400000 4045
8500000 4964
8600000 4469
8700000 3922
8800000 4219
