100000 177
200000 66
300000 31
400000 151
500000 43
600000 47
700000 53
800000 142
900000 341
1000000 70
1100000 82
1200000 171
1300000 110
1400000 93
1500000 104
1600000 102
1700000 211
1800000 115
1900000 638
2000000 129
2100000 260
2200000 191
2300000 147
2400000 742
2500000 304
2600000 261
2700000 289
2800000 299
2900000 185
3000000 878
3100000 997
3200000 213
3300000 966
3400000 983
3500000 1048
3600000 1055
3700000 1064
3800000 1135
3900000 1172
4000000 1125
4100000 1265
4200000 1246
4300000 1312
4400000 1483
4500000 1311
4600000 506
4700000 1125
4800000 1640
4900000 520
5000000 494
5100000 533
5200000 456
5300000 340
5400000 1557
5500000 1535
5600000 1643
5700000 1668
5800000 391
5900000 427
6000000 1776
6100000 566
6200000 459
6300000 1853
6400000 567
6500000 544
6600000 574
6700000 540
6800000 573
6900000 622
7000000 717
7100000 773
7200000 817
7300000 690
7400000 808
7500000 773
7600000 935
7700000 837
7800000 794
7900000 831
8000000 801
8100000 806
8200000 813
8300000 884
8400000 691
8500000 791
8600000 2043
8700000 1992
8800000 3112
8900000 2514
9000000 3124
9100000 3192
9200000 3603
9300000 4390
9400000 3242
9500000 3453
9600000 3850
9700000 3909
9800000 5340
9900000 3383
10000000 4913
10100000 3470
10200000 5448
10300000 5507
10400000 4178
10500000 4014
10600000 4071
10700000 4149
10800000 4201
10900000 4127
11000000 5736
11100000 5837
11200000 3716
11300000 5185
11400000 5497
11500000 5975
11600000 6101
11700000 6238
11800000 6106
11900000 5507
12000000 6208
12100000 6228
12200000 7817
12300000 7749
12400000 7817
12500000 7797
12600000 8004
12700000 7996
12800000 9607
12900000 9774
13000000 11281
13100000 13005
13200000 14656
13300000 16935
13400000 20182
13500000 25078
13600000 30392
13700000 42770
