100000 93
200000 47
300000 78
400000 110
500000 125
600000 188
700000 328
800000 453
900000 218
1000000 250
1100000 266
1200000 281
1300000 313
1400000 422
1500000 718
1600000 391
1700000 437
1800000 438
1900000 594
2000000 484
2100000 500
2200000 531
2300000 546
2400000 579
2500000 578
2600000 625
2700000 640
2800000 657
2900000 687
3000000 703
3100000 750
3200000 750
3300000 781
3400000 797
3500000 828
3600000 844
3700000 875
3800000 891
3900000 922
4000000 1187
4100000 969
4200000 984
4300000 1015
4400000 1407
4500000 1063
4600000 1093
4700000 1109
4800000 1125
4900000 1156
5000000 1188
5100000 1203
5200000 1547
5300000 1234
5400000 1266
5500000 1297
5600000 1313
5700000 1344
5800000 2188
5900000 1391
6000000 1407
6100000 1422
6200000 2547
6300000 1484
6400000 1500
6500000 1515
6600000 1562
6700000 1578
6800000 2532
6900000 1609
7000000 1672
7100000 2844
7200000 2719
7300000 2891
7400000 1766
7500000 1859
7600000 1969
7700000 3016
7800000 3719
7900000 4610
8000000 6548
